combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
30,0.6147514189771478,0.6054915012480685,0.1,0.001,10,1,100
31,0.6145731181837093,0.6077499108522525,0.1,0.001,10,10,10
32,0.6098481471575882,0.6028765006537502,0.1,0.001,10,10,50
33,0.6083623072122671,0.6010935457030786,0.1,0.001,10,10,100
34,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,10
35,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,50
36,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,100
37,0.6130575614394818,0.6075121835254963,0.1,0.01,3,1,10
38,0.6133250126296396,0.6075121835254963,0.1,0.01,3,1,50
39,0.6170098956940359,0.61167241174373,0.1,0.01,3,1,100
40,0.6116608718908799,0.6051349102579342,0.1,0.01,3,10,10
41,0.6125226590591661,0.6065612742184714,0.1,0.01,3,10,50
42,0.6159103741344982,0.6089385474860335,0.1,0.01,3,10,100
43,0.6067576000713203,0.6001426363960537,0.1,0.01,3,100,10
44,0.6067576000713203,0.5999049090692975,0.1,0.01,3,100,50
45,0.6078274048319515,0.6009746820397005,0.1,0.01,3,100,100
46,0.6178419660634157,0.61167241174373,0.1,0.01,5,1,10
47,0.6172773468841937,0.6113158207535956,0.1,0.01,5,1,50
48,0.6230721226709459,0.616189230952098,0.1,0.01,5,1,100
49,0.6148108525749606,0.6081065018423868,0.1,0.01,5,10,10
50,0.6141570829990194,0.6079876381790087,0.1,0.01,5,10,50
51,0.618852337226234,0.6126233210507548,0.1,0.01,5,10,100
52,0.6067873168702267,0.6001426363960537,0.1,0.01,5,100,10
53,0.6069359008647588,0.6001426363960537,0.1,0.01,5,100,50
54,0.6078571216308579,0.6010935457030786,0.1,0.01,5,100,100
55,0.6220320347092211,0.612861048377511,0.1,0.01,8,1,10
56,0.6208433627529643,0.6126233210507548,0.1,0.01,8,1,50
57,0.6286588808653532,0.6188042315464163,0.1,0.01,8,1,100
58,0.6157915069388725,0.609414002139546,0.1,0.01,8,10,10
59,0.6147811357760542,0.6087008201592773,0.1,0.01,8,10,50
60,0.6198329915901459,0.6134553666944015,0.1,0.01,8,10,100
61,0.6067873168702267,0.6001426363960537,0.1,0.01,8,100,10
62,0.6069656176636653,0.6001426363960537,0.1,0.01,8,100,50
63,0.6078571216308579,0.6010935457030786,0.1,0.01,8,100,100
64,0.6227749546818817,0.6138119576845359,0.1,0.01,10,1,10
65,0.6223589194971918,0.612861048377511,0.1,0.01,10,1,50
66,0.6307984903866155,0.6188042315464163,0.1,0.01,10,1,100
67,0.6158212237377789,0.609414002139546,0.1,0.01,10,10,10
68,0.6147811357760542,0.6088196838226554,0.1,0.01,10,10,50
69,0.6198627083890523,0.6135742303577796,0.1,0.01,10,10,100
70,0.6067873168702267,0.6001426363960537,0.1,0.01,10,100,10
71,0.6069656176636653,0.6001426363960537,0.1,0.01,10,100,50
72,0.6078571216308579,0.6010935457030786,0.1,0.01,10,100,100
73,0.6310362247778669,0.6251040057054559,0.1,0.1,3,1,10
74,0.6812873317286262,0.6751456079876382,0.1,0.1,3,1,50
75,0.7241389557516864,0.7166290265065969,0.1,0.1,3,1,100
76,0.6300852872128614,0.6237965054082967,0.1,0.1,3,10,10
77,0.679296306201896,0.6734815167003447,0.1,0.1,3,10,50
78,0.7215238774479213,0.7161535718530845,0.1,0.1,3,10,100
79,0.618079700454667,0.6115535480803518,0.1,0.1,3,100,10
80,0.6665180826721345,0.6621894686794247,0.1,0.1,3,100,50
81,0.7036343645062554,0.6996315226435279,0.1,0.1,3,100,100
82,0.6357314790050815,0.628669915606799,0.1,0.1,5,1,10
83,0.6928768833021307,0.682871746107215,0.1,0.1,5,1,50
84,0.7385218864223946,0.7230476643290146,0.1,0.1,5,1,100
85,0.6323437639297494,0.6247474147153216,0.1,0.1,5,10,10
86,0.6871118243142849,0.680613336503031,0.1,0.1,5,10,50
87,0.7300525987340644,0.7186497087840247,0.1,0.1,5,10,100
88,0.6181391340524799,0.6114346844169737,0.1,0.1,5,100,10
89,0.6679147722207364,0.6629026506596933,0.1,0.1,5,100,50
90,0.7060117084187691,0.7001069772970403,0.1,0.1,5,100,100
91,0.6398621140530742,0.6299774159039582,0.1,0.1,8,1,10
92,0.7069032123859618,0.6841792464043742,0.1,0.1,8,1,50
93,0.7670500133725595,0.7229288006656365,0.1,0.1,8,1,100
94,0.6329083831089715,0.6247474147153216,0.1,0.1,8,10,10
95,0.6887462482541381,0.6809699274931653,0.1,0.1,8,10,50
96,0.7330539954236129,0.721145845714965,0.1,0.1,8,10,100
97,0.6181094172535735,0.6114346844169737,0.1,0.1,8,100,10
98,0.6681227898130814,0.6630215143230714,0.1,0.1,8,100,50
99,0.7058036908264241,0.6996315226435279,0.1,0.1,8,100,100
100,0.6410805028082375,0.6295019612504458,0.1,0.1,10,1,10
101,0.7151347656830406,0.6853678830381552,0.1,0.1,10,1,50
102,0.7877031886125226,0.7198383454178058,0.1,0.1,10,1,100
103,0.6329678167067844,0.6248662783786997,0.1,0.1,10,10,10
104,0.688954265846483,0.680613336503031,0.1,0.1,10,10,50
105,0.7337374817984607,0.7209081183882087,0.1,0.1,10,10,100
106,0.6181094172535735,0.6114346844169737,0.1,0.1,10,100,10
107,0.6681227898130814,0.6630215143230714,0.1,0.1,10,100,50
108,0.7057739740275177,0.6993937953167717,0.1,0.1,10,100,100
109,0.7137975097322516,0.7093783430405325,0.1,1.0,3,1,10
110,0.7842857567382842,0.7639367645310828,0.1,1.0,3,1,50
111,0.80259130486464,0.7713063116605253,0.1,1.0,3,1,100
112,0.7128465721672461,0.7090217520503982,0.1,1.0,3,10,10
113,0.7767079730171466,0.7647688101747295,0.1,1.0,3,10,50
114,0.7919824076550473,0.7711874479971472,0.1,1.0,3,10,100
115,0.699800897447327,0.6957090217520504,0.1,1.0,3,100,10
116,0.752577932305132,0.7469392606680137,0.1,1.0,3,100,50
117,0.7626519271344091,0.7564483537382622,0.1,1.0,3,100,100
118,0.7287450595821818,0.7118744799714727,0.1,1.0,5,1,10
119,0.8196784642358326,0.7566860810650184,0.1,1.0,5,1,50
120,0.85599239249948,0.7632235825508142,0.1,1.0,5,1,100
121,0.7200380375026002,0.71330084393201,0.1,1.0,5,10,10
122,0.7907045853020712,0.7626292642339237,0.1,1.0,5,10,50
123,0.8084157974502987,0.7691667657197195,0.1,1.0,5,10,100
124,0.7000683486374848,0.6949958397717818,0.1,1.0,5,100,10
125,0.7533208522777927,0.7513372162130036,0.1,1.0,5,100,50
126,0.7632165463136311,0.7582313086889338,0.1,1.0,5,100,100
127,0.7503788891860569,0.7115178889813384,0.1,1.0,8,1,10
128,0.8870761641555972,0.7503863069059789,0.1,1.0,8,1,50
129,0.9375947222965142,0.749435397598954,0.1,1.0,8,1,100
130,0.7230097173932424,0.7129442529418757,0.1,1.0,8,10,10
131,0.8008082969302547,0.7623915369071674,0.1,1.0,8,10,50
132,0.8233633473002289,0.7666706287887792,0.1,1.0,8,10,100
133,0.7001872158331105,0.6949958397717818,0.1,1.0,8,100,10
134,0.7532911354788863,0.7514560798763817,0.1,1.0,8,100,50
135,0.7652075718403614,0.759657672649471,0.1,1.0,8,100,100
136,0.7654453062316128,0.708784024723642,0.1,1.0,10,1,10
137,0.9219636860717364,0.741471532152621,0.1,1.0,10,1,50
138,0.9670737868116847,0.7447997147272079,0.1,1.0,10,1,100
139,0.7233068853823066,0.7124687982883633,0.1,1.0,10,10,10
140,0.8026804552613592,0.7609651729466302,0.1,1.0,10,10,50
141,0.8277911503372857,0.7645310828479733,0.1,1.0,10,10,100
142,0.7001872158331105,0.6949958397717818,0.1,1.0,10,100,10
143,0.7532911354788863,0.7514560798763817,0.1,1.0,10,100,50
144,0.7652372886392678,0.7597765363128491,0.1,1.0,10,100,100
145,0.6743930343823363,0.6702721977891358,0.3,0.001,3,1,10
146,0.6668449674601052,0.6639724236300962,0.3,0.001,3,1,50
147,0.664289322754153,0.6615951503625341,0.3,0.001,3,1,100
148,0.6721345576654483,0.6697967431356234,0.3,0.001,3,10,10
149,0.6655077115093162,0.6621894686794247,0.3,0.001,3,10,50
150,0.6632195179935217,0.6605253773921312,0.3,0.001,3,10,100
151,0.666904401057918,0.6629026506596933,0.3,0.001,3,100,10
152,0.6588511485542777,0.6550576488767383,0.3,0.001,3,100,50
153,0.655701167870197,0.6505408296683703,0.3,0.001,3,100,100
154,0.6972452527413747,0.6911922025436824,0.3,0.001,5,1,10
155,0.6891325666399215,0.6831094734339712,0.3,0.001,5,1,50
156,0.686695789129595,0.6808510638297872,0.3,0.001,5,1,100
157,0.6923716977207215,0.6869131106620706,0.3,0.001,5,10,10
158,0.6843184452170812,0.6799001545227624,0.3,0.001,5,10,50
159,0.6814656325220647,0.6762153809580411,0.3,0.001,5,10,100
160,0.6735906808118629,0.6699156067990015,0.3,0.001,5,100,10
161,0.6652402603191584,0.661476286699156,0.3,0.001,5,100,50
